"filename", "language", "JavaScript", "Django HTML", "PHP", "CSS", "SCSS", "JSON", "vue", "Markdown", "XML", "Django txt", "YAML", "comment", "blank", "total"
"c:\laragon\www\bazrasi\database\factories\TagFactory.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19
"c:\laragon\www\bazrasi\database\factories\UserFactory.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 20
"c:\laragon\www\bazrasi\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 41
"c:\laragon\www\bazrasi\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\laragon\www\bazrasi\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 36
"c:\laragon\www\bazrasi\database\migrations\2019_11_09_055735_create_settings_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 34
"c:\laragon\www\bazrasi\database\migrations\2019_11_11_170438_create_custom_fields_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 35
"c:\laragon\www\bazrasi\database\migrations\2019_11_12_122144_create_file_types_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 37
"c:\laragon\www\bazrasi\database\migrations\2019_11_12_155907_create_tags_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 37
"c:\laragon\www\bazrasi\database\migrations\2019_11_13_150331_create_documents_table.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 41
"c:\laragon\www\bazrasi\database\migrations\2019_11_14_144921_create_documents_tags_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\laragon\www\bazrasi\database\migrations\2019_11_15_122537_create_files_table.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 42
"c:\laragon\www\bazrasi\database\migrations\2019_11_18_143946_create_permission_tables.php", "PHP", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 103
"c:\laragon\www\bazrasi\database\migrations\2019_11_20_155709_create_activities_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 36
"c:\laragon\www\bazrasi\database\migrations\2019_11_21_085158_update_custom_fields_add_field.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\laragon\www\bazrasi\database\migrations\2019_11_21_122845_update_activities_add_field_document_id.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 35
"c:\laragon\www\bazrasi\database\seeds\CustomFieldsTableSeeder.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 26
